id,source,target,value
452,asp.net,vb.net,23.711346281144564
453,sql-server,vb.net,21.788893442838376
454,c#,vb.net,25.185135956324604
455,excel-vba,vba,49.61621727834464
456,excel,vba,45.26074988295236
457,c#,visual-studio,27.71554342863794
458,laravel,vue.js,28.79989665496036
459,.net,wcf,28.074400427611113
460,entity-framework,wcf,32.81595165036012
461,c#,wcf,29.299880033528954
462,sql-server,wcf,26.29146633095843
463,wpf,wcf,53.17990345536856
464,linq,wcf,34.58709265871981
465,asp.net,wcf,40.951421726059984
466,asp.net-web-api,wcf,28.356535431019818
467,rest,web-services,33.69066907565828
468,hibernate,web-services,21.210956925188103
469,spring,web-services,20.16560629687762
470,powershell,windows,20.24069060325144
471,linux,windows,29.945400773839896
472,osx,windows,20.860246776482484
473,php,wordpress,41.03704549651282
474,html5,wordpress,22.216440754019796
475,css,wordpress,31.264824668848835
476,codeigniter,wordpress,25.13313076574851
477,drupal,wordpress,24.919296182152596
478,jquery,wordpress,28.87017059988903
479,linq,wpf,26.468391555977576
480,wcf,wpf,53.17990345536856
481,entity-framework,wpf,24.228201856682706
482,c#,wpf,38.95749217569616
483,asp.net,wpf,28.15902333873328
484,.net,wpf,32.35092522005943
485,c#,xamarin,24.673147548722167
486,objective-c,xcode,43.41882511710604
487,swift,xcode,48.62033486702057
488,iphone,xcode,34.71286507120063
489,ios,xcode,46.36509077387072
490,json,xml,42.721668458812765
